Name, Rate, Phone Numbers that Start With, 
Belgium,0.68500,"3270, 3278, 3290, 32230, 32261, 32361, 321020, 321044, 321075, 321076, 321089, 321141, 321156, 321171, 321172, 321174, 321175, 321176, 321191, 321220, 321221, 321222, 321275, 321288, 321289, 321325, 321326, 321327, 321328, 321329, 321330, 321375, 321388, 321389, 321466, 321470, 321471, 321472, 321473, 321474, 321475, 321476, 321489, 321533, 321534, 321535, 321536, 321537, 321563, 321564, 321565, 321566, 321567, 321574, 321588, 321589, 321632, 321633, 321634, 321637, 321641, 321643, 321674, 321684, 321685, 321686, 321688, 321689, 321690, 321920, 321975, 321988, 321989, 322310, 322408, 322418, 322429, 322444, 322473, 322608, 322609, 322610, 322611, 322612, 322613, 322889, 323283, 323288, 323289, 323290, 323292, 323293, 323294, 323295, 323296, 323297, 323298, 323299, 323333, 323336, 323337, 323338, 323344, 323345, 323608, 323609, 323610, 323611, 323612, 323689, 324244, 324274, 324276, 324288, 324322, 324389, 325064, 325065, 325066, 325067, 325068, 325069, 325070, 325073, 325074, 325088, 325090, 325143, 325144, 325145, 325152, 325153, 325160, 325162, 325169, 325175, 325180, 325181, 325182, 325188, 325189, 325250, 325251, 325252, 325253, 325254, 325255, 325256, 325257, 325275, 325279, 325288, 325338, 325339, 325340, 325341, 325342, 325343, 325361, 325369, 325388, 325423, 325424, 325425, 325426, 325461, 325480, 325488, 325559, 325560, 325561, 325562, 325575, 325580, 325588, 325628, 325629, 325632, 325644, 325647, 325649, 325674, 325688, 325690, 325735, 325736, 325737, 325761, 325775, 325788, 325789, 325859, 325860, 325861, 325862, 325863, 325875, 325888, 325889, 325940, 325941, 325942, 325943, 325944, 325961, 325988, 325989, 326061, 326075, 326088, 326089, 326160, 326175, 326188, 326189, 326364, 326375, 326388, 326389, 326450, 326463, 326474, 326489, 326550, 326553, 326574, 326585, 326589, 326750, 326766, 326774, 326780, 326869, 326875, 326888, 326889, 326950, 326970, 326975, 326980, 327167, 327169, 327190, 327810, 327836, 327878, 328050, 328069, 328075, 328081, 328150, 328166, 328169, 328180, 328275, 328283, 328288, 328289, 328375, 328384, 328388, 328389, 328475, 328485, 328488, 328489, 328575, 328586, 328588, 328589, 328675, 328687, 328688, 328689, 328750, 328757, 328775, 328780, 328920, 328921, 328922, 328923, 328924, 328925, 328974, 328980, 328988, 329261, 329262, 329278, 329279, 329324, 329328, 329329, 329330, 329331, 329332, 329334, 329335, 329336, 329350, 329351, 3211967, 3211968, 3211969, 3271940, 3271941, 3271943, 3271944, 3271945, 3271948, 3271949, 3278353"
Belize,0.03400,501
Belize,0.03400,5016
Benin,0.08000,"22961, 22964, 22965, 22966, 22967, 22968, 22990, 22992, 22993, 22994, 22995, 22996, 22997, 22998, 22999"
Benin,0.15500,229
Bermuda,0.02400,1441
Bhutan,0.13260,975
Bolivia,0.14500,"59122, 59133, 59144"
Bolivia,0.14760,591
Bolivia,0.25080,"5916, 5917, 59160, 59161, 59165, 59167, 59168, 59169, 59170, 59171, 59172, 59173, 59174, 59175, 59176, 59177, 59178, 59179"
